time,boiler,fridge,freezer,mw,waterkettle,coffee,lamp,lamp,lmap,lmap,lamp,total
10500,2,0,0,0,0,2,0,0,,0,0,8
10501,2,0,2,2,0,4,0,0,,0,0,6
10502,2,0,0,0,0,4,0,0,,0,0,8
10503,2,0,2,2,0,4,0,0,,0,0,10
10504,2,0,2,0,0,2,0,0,,0,0,4
10505,2,0,0,0,0,2,0,0,,0,0,8
10506,2,0,2,2,0,2,0,0,,0,0,4
10507,2,0,0,0,0,2,0,0,,0,0,8
10508,2,0,2,2,0,4,0,0,,0,0,6
10509,2,0,0,0,0,2,0,0,,0,0,6
10510,2,0,2,2,0,4,0,0,,0,0,8
10511,2,0,0,0,0,4,0,0,,0,0,10
10512,2,0,2,0,0,2,0,0,,0,0,4
10513,2,0,0,2,0,2,0,0,,0,0,6
10514,2,0,0,2,0,2,0,0,,0,0,8
10515,2,0,2,0,0,4,0,0,,0,2,10
10516,2,0,2,2,0,4,0,0,,0,0,8
10517,2,0,0,2,0,4,0,0,,0,0,8
10518,2,0,0,0,0,4,0,0,,0,0,10
10519,2,0,2,2,0,4,0,0,,0,0,6
10520,2,0,0,2,0,4,0,0,,0,0,8
10521,2,0,0,2,0,4,0,0,,0,0,10
10522,2,0,2,0,0,4,0,0,,0,0,6
10523,2,0,0,2,0,4,0,0,,0,0,8
10524,2,0,2,2,0,4,0,0,,0,0,8
10525,2,0,0,0,0,2,0,0,,0,0,4
10526,2,0,0,0,0,4,0,0,,0,0,10
10527,2,0,2,2,0,2,2,0,,0,0,8
10528,2,0,0,0,0,2,0,0,,0,0,8
10529,2,0,2,2,0,2,0,0,,0,0,4
10530,2,0,0,2,0,2,0,0,,0,0,8
10531,2,0,2,2,0,4,0,0,,0,0,10
10532,2,0,2,0,0,2,0,0,,0,0,6
10533,2,0,2,2,0,2,0,0,,0,0,4
10534,2,0,0,2,0,2,0,0,,0,0,6
10535,2,0,0,0,0,4,0,0,,0,0,8
10536,2,0,0,0,0,4,0,0,,0,0,8
10537,2,0,2,2,0,4,0,0,,0,0,8
10538,2,0,2,2,0,4,0,0,,0,0,8
10539,2,0,0,0,0,4,0,0,,0,0,8
10540,2,0,0,0,0,4,0,0,,0,0,6
10541,2,0,0,2,0,2,0,0,,0,0,6
10542,2,0,2,2,0,2,0,0,,0,0,6
10543,2,0,0,0,0,2,0,0,,0,0,4
10544,2,0,0,0,0,4,0,0,,0,0,6
10545,2,0,0,2,0,2,0,0,,0,0,8
10546,2,0,2,0,0,4,0,0,,0,0,6
10547,2,0,0,0,0,4,0,0,,0,2,12
10548,2,0,2,2,0,4,0,0,,0,0,8
10549,2,0,0,0,0,4,0,0,,0,0,6
10550,2,0,0,2,0,4,0,0,,0,0,10
10551,2,0,2,2,0,4,0,0,,0,0,8
10552,2,0,0,0,0,2,0,0,,0,0,6
10553,2,0,2,2,0,4,0,0,,0,0,10
10554,2,0,2,2,0,4,0,0,,0,0,6
10555,2,0,0,0,0,2,0,0,,0,0,4
10556,2,0,0,2,0,4,0,0,,0,0,10
10557,2,0,2,0,0,2,0,0,,0,0,8
10558,2,2,0,0,0,4,0,0,,0,0,10
10559,2,2,2,2,0,4,0,0,,0,0,6
10560,2,0,0,2,0,2,0,0,,0,0,6
10561,2,0,0,0,0,4,0,0,,0,0,10
10562,2,0,2,0,0,2,0,0,,0,0,4
10563,2,0,0,2,0,2,0,0,,0,0,8
10564,2,0,2,2,0,2,0,0,,0,0,4
10565,2,0,0,0,0,4,0,0,,0,0,10
10566,2,0,2,2,0,4,0,0,,0,0,8
10567,2,0,0,0,0,4,0,0,,0,0,10
10568,2,0,2,2,0,2,0,0,,0,0,4
10569,2,0,0,2,0,2,0,0,,0,0,8
10570,0,0,2,2,0,2,0,0,,0,0,6
10571,2,0,2,0,0,4,0,0,,0,0,8
10572,2,0,2,2,0,4,2,0,,0,0,8
10573,2,0,0,2,0,2,0,0,,0,0,8
