time,boiler,fridge,freezer,mw,waterkettle,coffee,lamp,lamp,lmap,lmap,lamp,total
10500,2,0,0,0,0,2,0,0,,0,0,4
10501,2,0,2,2,0,4,0,0,,0,0,10
10502,2,0,0,0,0,4,0,0,,0,0,6
10503,2,0,2,2,0,4,0,0,,0,0,10
10504,2,0,2,0,0,2,0,0,,0,0,6
10505,2,0,0,0,0,2,0,0,,0,0,4
10506,2,0,2,2,0,2,0,0,,0,0,8
10507,2,0,0,0,0,2,0,0,,0,0,4
10508,2,0,2,2,0,4,0,0,,0,0,10
10509,2,0,0,0,0,2,0,0,,0,0,4
10510,2,0,2,2,0,4,0,0,,0,0,10
10511,2,0,0,0,0,4,0,0,,0,0,6
10512,2,0,2,0,0,2,0,0,,0,0,6
10513,2,0,0,2,0,2,0,0,,0,0,6
10514,2,0,0,2,0,2,0,0,,0,0,6
10515,2,0,2,0,0,4,0,0,,0,2,10
10516,2,0,2,2,0,4,0,0,,0,0,10
10517,2,0,0,2,0,4,0,0,,0,0,8
10518,2,0,0,0,0,4,0,0,,0,0,6
10519,2,0,2,2,0,4,0,0,,0,0,10
10520,2,0,0,2,0,4,0,0,,0,0,8
10521,2,0,0,2,0,4,0,0,,0,0,8
10522,2,0,2,0,0,4,0,0,,0,0,8
10523,2,0,0,2,0,4,0,0,,0,0,8
10524,2,0,2,2,0,4,0,0,,0,0,10
10525,2,0,0,0,0,2,0,0,,0,0,4
10526,2,0,0,0,0,4,0,0,,0,0,6
10527,2,0,2,2,0,2,2,0,,0,0,10
10528,2,0,0,0,0,2,0,0,,0,0,4
10529,2,0,2,2,0,2,0,0,,0,0,8
10530,2,0,0,2,0,2,0,0,,0,0,6
10531,2,0,2,2,0,4,0,0,,0,0,10
10532,2,0,2,0,0,2,0,0,,0,0,6
10533,2,0,2,2,0,2,0,0,,0,0,8
10534,2,0,0,2,0,2,0,0,,0,0,6
10535,2,0,0,0,0,4,0,0,,0,0,6
10536,2,0,0,0,0,4,0,0,,0,0,6
10537,2,0,2,2,0,4,0,0,,0,0,10
10538,2,0,2,2,0,4,0,0,,0,0,10
10539,2,0,0,0,0,4,0,0,,0,0,6
10540,2,0,0,0,0,4,0,0,,0,0,6
10541,2,0,0,2,0,2,0,0,,0,0,6
10542,2,0,2,2,0,2,0,0,,0,0,8
10543,2,0,0,0,0,2,0,0,,0,0,4
10544,2,0,0,0,0,4,0,0,,0,0,6
10545,2,0,0,2,0,2,0,0,,0,0,6
10546,2,0,2,0,0,4,0,0,,0,0,8
10547,2,0,0,0,0,4,0,0,,0,2,8
10548,2,0,2,2,0,4,0,0,,0,0,10
10549,2,0,0,0,0,4,0,0,,0,0,6
10550,2,0,0,2,0,4,0,0,,0,0,8
10551,2,0,2,2,0,4,0,0,,0,0,10
10552,2,0,0,0,0,2,0,0,,0,0,4
10553,2,0,2,2,0,4,0,0,,0,0,10
10554,2,0,2,2,0,4,0,0,,0,0,10
10555,2,0,0,0,0,2,0,0,,0,0,4
10556,2,0,0,2,0,4,0,0,,0,0,8
10557,2,0,2,0,0,2,0,0,,0,0,6
10558,2,2,0,0,0,4,0,0,,0,0,8
10559,2,2,2,2,0,4,0,0,,0,0,12
10560,2,0,0,2,0,2,0,0,,0,0,6
10561,2,0,0,0,0,4,0,0,,0,0,6
10562,2,0,2,0,0,2,0,0,,0,0,6
10563,2,0,0,2,0,2,0,0,,0,0,6
10564,2,0,2,2,0,2,0,0,,0,0,8
10565,2,0,0,0,0,4,0,0,,0,0,6
10566,2,0,2,2,0,4,0,0,,0,0,10
10567,2,0,0,0,0,4,0,0,,0,0,6
10568,2,0,2,2,0,2,0,0,,0,0,8
10569,2,0,0,2,0,2,0,0,,0,0,6
10570,0,0,2,2,0,2,0,0,,0,0,6
10571,2,0,2,0,0,4,0,0,,0,0,8
10572,2,0,2,2,0,4,2,0,,0,0,12
10573,2,0,0,2,0,2,0,0,,0,0,6
10574,2,0,2,0,0,4,0,0,,0,0,8
10575,2,0,0,0,0,4,0,0,,0,0,6
10576,2,0,2,2,0,2,0,0,,0,0,8
10577,2,0,0,0,0,4,0,0,,0,0,6
10578,2,0,0,2,0,4,0,0,,0,0,8
10579,2,0,2,2,0,2,0,0,,0,0,8
10580,2,0,0,2,0,2,0,0,,0,0,6
10581,2,0,2,0,0,2,0,0,,0,0,6
